s_no,company_name,total_apps,rejected,disposed,pending,amount,last_updated,extra,event,days_elapsed,sector_baseline_recovery
38,NUCLEAR POWER CORPN. OF INDIA LTD.,32,1,4,8,4,0,15,1,116,0.192
39,HLL LIFECARE LTD.,32,15,1,8,4,0,4,1,356,0.192
40,TELECOMMUNICATIONS CONSULTANTS (INDIA) LTD.,31,6,8,11,3,0,3,1,283,0.192
41,NHPC LTD.,31,2,2,5,9,0,13,1,90,0.192
42,HINDUSTAN PREFAB LTD.,30,19,3,7,1,0,0,1,437,0.192
43,WESTERN COALFIELDS LTD.,30,5,11,4,6,0,4,1,283,0.192
44,NATIONAL TEXTILE CORPN. LTD.,30,9,4,6,2,0,9,1,65,0.192
45,CONTAINER CORPORATION OF INDIA LTD.,28,4,2,11,5,0,6,1,229,0.192
46,RITES LTD.,28,0,4,9,4,0,11,1,71,0.192
47,HINDUSTAN COPPER LTD.,27,0,3,6,10,0,8,1,361,0.192
48,OIL INDIA LTD.,26,6,4,5,1,0,10,1,276,0.192
49,FOOD CORPN. OF INDIA,26,3,9,5,4,0,5,1,192,0.192
50,SECURITY PRINTING & MINTING CORPN. INDIA LTD,26,1,4,11,5,0,5,1,294,0.192
51,BEML LTD.,25,2,1,7,6,0,9,1,178,0.192
52,MAHANADI COALFIELDLS LTD.,24,6,7,1,4,0,6,1,279,0.192
53,BHARAT COKING COAL LTD.,23,5,2,9,1,0,6,1,207,0.192
54,CHENNAI PETROLEUM CORPORATION LTD.,21,0,10,0,1,0,10,1,229,0.192
55,NUMALIGARH REFINERY LTD.,21,5,3,4,6,0,3,1,30,0.192
56,NATIONAL PROJECTS CONSTRUCTION CORPN. LTD.,21,5,2,6,5,0,3,1,30,0.192
57,SHIPPING CORPORATION OF INDIA LTD.,20,5,1,4,3,0,7,1,370,0.192
58,BROADCAST ENGG. CONSULTANTS INDIA LTD.,20,5,6,4,2,0,3,1,406,0.192
59,HLL BIOTECH LTD.,20,0,2,16,2,0,0,1,238,0.192
60,NMDC STEEL LTD.,19,0,4,1,3,0,11,1,355,0.192
61,URANIUM CORPORATION OF INDIA LTD.,18,3,3,2,6,0,4,1,101,0.192
62,CENTRAL WAREHOUSING CORPN.,18,0,8,7,2,0,1,1,448,0.192
63,NATIONAL SMALL INDUSTRIES CORPN. LTD.,18,1,3,7,1,0,6,1,114,0.192
64,ENGINEERS INDIA LTD.,18,2,1,5,2,0,8,1,419,0.192
65,CEMENT CORPN. OF INDIA LTD.,16,7,0,2,4,0,3,0,286,0.192
66,GARDEN REACH SHIPBUILDERS & ENGINEERS LTD.,16,1,4,2,1,0,8,1,269,0.192
67,ANDREW YULE & COMPANY LTD.,16,0,8,5,0,0,3,1,449,0.192
68,BHEL ELECTRICAL MACHINES LTD.,14,1,2,10,1,0,0,1,101,0.192
69,NATIONAL INFORMATICS CENTRE SERVICES INCORPORATED,14,1,4,3,6,0,0,1,130,0.192
70,HSCC (INDIA) LTD.,14,1,4,2,6,0,1,1,72,0.192
71,RASHTRIYA CHEMICALS AND FERTILIZERS LTD.,13,3,0,3,0,0,7,0,340,0.192
72,INDIAN RAILWAY CATERING AND TOURISM CORPN. LTD.,13,6,2,2,3,0,0,1,391,0.192
73,MADRAS FERTILIZERS LTD.,13,1,1,4,2,0,5,1,378,0.192
74,INDIA TOURISM DEV. CORPN. LTD.,13,0,3,1,7,0,2,1,123,0.192
75,YANTRA INDIA LIMITED (YIL),12,4,4,1,3,0,0,1,445,0.192
76,NATIONAL ALUMINIUM COMPANY LTD.,12,5,0,2,1,0,4,0,317,0.192
77,GOA SHIPYARD LTD.,12,0,5,5,2,0,0,1,181,0.192
78,ADVANCED WEAPONS AND EQUIPMENT INDIA LIMITED,12,6,3,0,0,0,3,1,138,0.192
79,HINDUSTAN STEELWORKS COSTN. LTD.,12,1,5,3,2,0,1,1,186,0.192
80,HINDUSTAN PAPER CORPORATION LTD.,12,2,2,2,6,0,0,1,100,0.192
81,NATIONAL HIGHWAY AUTHORITY OF INDIA,11,6,2,1,1,0,1,1,216,0.192
82,KONKAN RAILWAY CORPORATION LTD.,10,0,0,7,0,0,3,0,194,0.192
83,AIR INDIA ENGINEERING SERVICES LTD.,10,2,1,2,3,0,2,1,294,0.192
84,MAZAGON DOCK SHIPBUILDERS LTD.,10,0,3,1,4,0,2,1,216,0.192
85,IDPL (TAMILNADU) LTD.,10,0,0,9,1,0,0,0,399,0.192
86,MANGALORE REFINERY & PETROCHEMICALS LTD.,10,2,1,3,2,0,2,1,161,0.192
87,BENGAL CHEMICALS & PHARMACEUTICALS LTD.,9,0,2,5,2,0,0,1,150,0.192
88,DREDGING CORPN. OF INDIA LTD.,9,2,1,1,3,0,2,1,119,0.192
89,INDIA INFRASTRUCTURE FINANCE CO. LTD.,9,1,2,2,3,0,1,1,274,0.192
90,ARTIFICIAL LIMBS MFG. CORPN. OF INDIA,9,2,3,2,2,0,0,1,132,0.192
91,INDIAN DRUGS & PHARMACEUTICALS LTD.,9,2,1,4,2,0,0,1,309,0.192
92,NATIONAL FERTILIZERS LTD.,9,2,1,0,0,0,6,1,444,0.192
93,MUNITIONS INDIA LTD.,9,4,1,1,1,0,2,1,229,0.192
94,COAL INDIA LTD.,9,1,1,2,1,0,4,1,97,0.192
95,FERTILIZERS & CHEMICALS (TRAVANCORE) LTD.,9,0,4,5,0,0,0,1,348,0.192
96,RAIL VIKAS NIGAM LTD.,8,1,4,2,1,0,0,1,322,0.192
97,MOIL LTD.,8,3,1,2,1,0,1,1,297,0.192
98,M M T C LTD.,8,1,2,1,2,0,2,1,277,0.192
99,HINDUSTAN NEWSPRINT LTD.,8,0,3,4,1,0,0,1,91,0.192
100,PATRATU VIDYUT UTPADAN NIGAM LTD.,8,0,6,1,1,0,0,1,409,0.192
101,INDIAN RARE EARTHS LTD.,8,0,1,0,4,0,3,1,302,0.192
102,GAIL GAS LTD.,8,2,3,2,0,0,1,1,56,0.192
103,CENTRAL ELECTRONICS LTD.,8,1,2,3,0,0,2,1,111,0.192
104,NATIONAL SEEDS CORPN. LTD.,7,2,1,2,2,0,0,1,294,0.192
105,EdCIL(India) Ltd.,7,2,1,3,0,0,1,1,382,0.192
106,COCHIN SHIPYARD LTD.,7,1,1,1,2,0,2,1,447,0.192
107,MISHRA DHATU NIGAM LTD.,6,0,2,1,0,0,3,1,38,0.192
108,M S T C LTD.,6,0,1,0,5,0,0,1,76,0.192
109,RAJASTHAN ELECTRONICS AND INSTRUMENTS LTD.,6,2,0,2,2,0,0,0,36,0.192
110,BRAHAMPUTRA CRACKERS & POLYMER LTD.,5,0,1,3,0,0,1,1,419,0.192
111,HLL INFRA TECH SERVICES LTD.,5,2,0,2,0,0,1,0,102,0.192
112,AIRLINE ALLIED SERVICES LTD.,5,1,0,0,4,0,0,0,172,0.192
113,BHARAT DYNAMICS LTD.,5,0,0,1,0,0,4,0,42,0.192
114,HINDUSTAN SHIPYARD LTD.,5,2,1,0,1,0,1,1,75,0.192
115,HINDUSTAN ANTIBIOTICS LTD.,5,2,2,1,0,0,0,1,232,0.192
116,NHDC LTD.,5,3,1,0,1,0,0,1,195,0.192
117,INDIA TRADE PROMOTION ORGANISATION,5,0,0,4,1,0,0,0,268,0.192
118,HPCL BIOFUELS LTD.,5,0,1,0,1,0,3,1,143,0.192
119,NATIONAL HANDLOOM DEVELOPMENT CORPORATION LTD.,5,3,2,0,0,0,0,1,32,0.192
120,CENTRAL MINE PLANNING & DESIGN INSTITUTE LTD.,5,1,0,2,2,0,0,0,337,0.192
121,REC POWER DISTRIBUTION CO. LTD.,4,2,1,1,0,0,0,1,329,0.192
122,NATIONAL HIGHWAYS & INFRASTRUCTURE DEVELOPMENT CORPN. LTD.,4,0,2,0,0,0,2,1,147,0.192
123,INSTRUMENTATION LTD.,4,0,0,1,1,0,2,0,368,0.192
124,HINDUSTAN SALTS LTD.,4,0,0,4,0,0,0,0,438,0.192
125,IIFCL ASSET MANAGEMENT COMPANY LTD.,4,2,0,0,1,0,1,0,211,0.192
126,NEPA LTD.,4,1,0,0,2,0,1,0,246,0.192
127,FCI ARAVALI GYPSUM & MINERALS (INDIA) LTD.,4,0,1,2,0,0,1,1,308,0.192
128,NPCIL - INDIAN OIL NUCLEAR ENERGY CORPORATION LTD.,4,0,0,1,2,0,1,0,211,0.192
129,INDIA OPTEL LIMITED,4,0,0,0,0,0,4,0,93,0.192
130,BALMER LAWRIE & CO. LTD.,4,0,0,1,2,0,1,0,231,0.192
131,NORTH EASTERN ELECTRIC POWER CORPORATION LTD.,4,0,0,0,1,0,3,0,273,0.192
132,NBCC SERVICES LTD.,4,2,0,0,2,0,0,0,404,0.192
133,PAWAN HANS LTD.,4,0,0,2,2,0,0,0,277,0.192
134,KARNATAKA ANTIBIOTICS & PHARMACEUTICALS LTD.,4,0,1,1,1,0,1,1,283,0.192
135,NTPC Mining Limited (NML),4,0,1,3,0,0,0,1,300,0.192
136,BRAHMAPUTRA VALLEY FERTILIZER CORPN. LTD.,3,0,1,0,1,0,1,1,313,0.192
137,SAIL REFRACTORY COMPANY LTD.,3,1,1,0,1,0,0,1,265,0.192
138,IIFCL PROJECTS LTD.,3,1,0,1,1,0,0,0,184,0.192
139,BURN STANDARD COMPANY LTD.,3,0,2,1,0,0,0,1,168,0.192
140,ARMOURED VEHICLES NIGAM LIMITED,3,0,0,1,0,0,2,0,264,0.192
141,SJVN LTD.,3,0,0,0,1,0,2,0,245,0.192
142,KIOCL LTD.,3,0,1,0,1,0,1,1,282,0.192
143,CENTRAL COTTAGE INDUSTRIES CORPN. OF INDIA LTD.,3,0,0,0,3,0,0,0,365,0.192
144,HMT LTD.,3,1,1,0,0,0,1,1,380,0.192
145,CERTIFICATION ENGINEERS INTERNATIONAL LTD.,3,2,0,0,0,0,1,0,234,0.192
146,INDIA POST PAYMENT BANK LTD,3,0,0,0,0,0,3,0,84,0.192
147,HANDICRAFTS & HANDLOOM EXPORTS CORP. OF INDIA LTD.,3,0,2,1,0,0,0,1,391,0.192
148,CENTRAL RAILSIDE WAREHOUSE CO. LTD.,3,0,0,1,1,0,1,0,153,0.192
149,STATE TRADING CORPN. OF INDIA LTD.,3,0,0,2,1,0,0,0,100,0.192
150,INDIAN RAILWAY STATIONS DEVPT. CORPORATION LTD.,2,0,0,0,1,0,1,0,197,0.192
151,RAJASTHAN DRUGS & PHARMACEUTICALS LTD.,2,0,1,0,1,0,0,1,292,0.192
152,HPRGE,2,1,0,0,1,0,0,0,241,0.192
153,ORISSA DRUGS & CHEMICALS LTD.,2,0,1,0,1,0,0,1,159,0.192
154,BHARAT IMMUNOLOGICALS & BIOLOGICALS CORP. LTD.,2,1,0,1,0,0,0,0,255,0.192
155,BHAKRA BEAS MANAGEMENT BOARD,2,0,0,1,0,0,1,0,340,0.192
156,ANUSHAKTI VIDHYUT NIGAM LTD.,2,0,0,0,0,0,2,0,126,0.192
157,HPCL RAJASTHAN REFINERY LTD.,2,2,0,0,0,0,0,0,67,0.192
158,HOUSING & URBAN DEV. CORPN. LTD.,2,0,1,0,0,0,1,1,438,0.192
159,NATIONAL RESEARCH DEVELOPMENT CORPN.,2,0,1,1,0,0,0,1,148,0.192
160,P E C LTD.,2,2,0,0,0,0,0,0,67,0.192
161,BRAITHWAITE & CO. LTD.,2,0,0,0,1,0,1,0,254,0.192
162,DEDICATED FRIGHT CORRIDOR CORP. OF INDIA LTD.,2,0,1,1,0,0,0,1,126,0.192
163,NATIONAL FILM DEV. CORPN. LTD.,1,0,1,0,0,0,0,1,83,0.192
164,NEYVELI UTTAR PRADESH POWER LTD,1,1,0,0,0,0,0,0,189,0.192
165,VIGNYAN INDUSTRIES LTD.,1,0,0,0,1,0,0,0,273,0.192
166,INDIAN RENEWABLE ENERGY DEVT.AGENCY LTD.,1,0,0,1,0,0,0,0,151,0.192
167,BIOTECHNOLOGY INDUSTRY RESEARCH ASSISTANCE COUNCIL,1,0,0,0,0,0,1,0,316,0.192
168,NATIONAL JUTE MANUFACTURES CORPORATION LTD.,1,0,0,0,1,0,0,0,73,0.192
169,CONCOR AIR LTD.,1,0,0,1,0,0,0,0,267,0.192
170,POWER FINANCE CORPORATION LTD.,1,0,0,0,0,0,1,0,44,0.192
171,NEWSPACE INDIA LTD.,1,0,0,0,0,0,1,0,278,0.192
172,COASTAL TAMIL NADU POWER LTD.,1,0,0,1,0,0,0,0,317,0.192
173,GRID CONTROLLER OF INDIA LIMITED,1,0,1,0,0,0,0,1,361,0.192
174,MINERAL EXPLORATION CORPN. LTD.,1,0,0,1,0,0,0,0,114,0.192
175,SJVN THERMAL PVT. LTD.,1,0,0,0,1,0,0,0,135,0.192
176,RAILWAY ENERGY MANAGEMENT COMPANY LTD.,1,1,0,0,0,0,0,0,204,0.192
177,PROJECTS & DEVELOPMENT INDIA LTD.,1,1,0,0,0,0,0,0,430,0.192
178,NATIONAL SCHEDULED CASTES FINANCE & DEVP. CORPN.,1,0,0,0,0,0,1,0,337,0.192
179,ORISSA MINERAL DEVELOPMENT COMPANY LTD.,1,1,0,0,0,0,0,0,350,0.192
180,FERRO SCRAP NIGAM LTD.,1,0,0,0,0,0,1,0,35,0.192
181,SCOOTERS INDIA LTD.,1,0,0,1,0,0,0,0,437,0.192
182,BHARATIYA NABHIKIYA VIDYUT NIGAM LTD.,1,0,0,0,0,0,1,0,345,0.192
183,ANTRIX CORPORATION LTD.,1,0,0,0,1,0,0,0,162,0.192
184,NATIONAL HANDICAPPED FINANCE & DEVPT. CORPN.,1,0,1,0,0,0,0,1,348,0.192
185,KOLKATA METRO RAIL CORPORATION LTD.,1,0,0,1,0,0,0,0,226,0.192
186,KAMARAJAR PORT LTD.,1,0,0,1,0,0,0,0,333,0.192
187,SOLAR ENERGY CORPORATION OF INDIA,1,0,0,0,0,0,1,0,189,0.192
188,ONGC VIDESH LTD.,1,0,0,0,0,0,1,0,284,0.192
189,NTPC VIDYUT VYAPAR NIGAM LTD.,1,0,0,0,0,0,1,0,194,0.192
190,POWER GRID JABALPUR TRANSMISSION LTD.,1,1,0,0,0,0,0,0,90,0.192
191,OIL INDIA INTERNATIONAL LTD.,1,0,1,0,0,0,0,1,284,0.192
192,THDC INDIA LTD.,1,0,0,0,0,0,1,0,76,0.192
193,MUMBAI RAILWAY VIKAS CORPORATION LTD.,1,0,0,0,1,0,0,0,91,0.192
194,BHARTIYA RAIL BIJLEE CO. LTD.,1,1,0,0,0,0,0,0,214,0.192
195,BHARAT OMAN REFINERIES LIMITED,1,1,0,0,0,0,0,0,267,0.192
196,COTTON CORPN. OF INDIA LTD.,1,0,0,1,0,0,0,0,62,0.192
197,ONGC MANGALORE PETROCHEMICALS LTD.,1,0,0,0,1,0,0,0,386,0.192
198,THE JUTE CORPN. OF INDIA LTD.,1,0,0,1,0,0,0,0,360,0.192
199,INLAND & COASTAL SHIPPING LTD.,1,0,0,0,0,0,1,0,98,0.192
200,RATNAGIRI GAS AND POWER PVT. LTD.,1,0,1,0,0,0,0,1,125,0.192
201,CHENAB VALLEY POWER PROJECT PRIVATE LIMITED,1,1,0,0,0,0,0,0,239,0.192
202,LOKTAK DOWNSTREAM HYDROELECTRIC CORPORATION LTD.,1,0,0,0,1,0,0,0,178,0.192
203,SAKHIGOPAL INTEGRATED POWER COMPANY LTD.,0,0,0,0,0,0,0,0,176,0.192
204,HIGH SPEED RAIL CORPORATION OF INDIA LTD.,0,0,0,0,0,0,0,0,77,0.192
205,NORTH EASTERN REGIONAL AGRI. MARKETING CORP.LTD.,0,0,0,0,0,0,0,0,326,0.192
206,NTPC Green Energy Limited,0,0,0,0,0,0,0,0,290,0.192
207,Indo Russian Helicopters Ltd.,0,0,0,0,0,0,0,0,61,0.192
208,NSIC Venture Capital Fund Ltd.,0,0,0,0,0,0,0,0,416,0.192
209,Udupi Cochin Shipyards Ltd.,0,0,0,0,0,0,0,0,60,0.192
210,BEL-THALES SYSTEMS LTD.,0,0,0,0,0,0,0,0,386,0.192
211,IRCON GURGAON REWARI HIGHWAY SERVICES,0,0,0,0,0,0,0,0,131,0.192
212,REC Power Development and Consultancy Limited,0,0,0,0,0,0,0,0,170,0.192
213,BPCL-KIAL Fuel Farm Pvt. Ltd.,0,0,0,0,0,0,0,0,359,0.192
214,Powergid Khetri Transmission Ltd.,0,0,0,0,0,0,0,0,146,0.192
215,AGRINNOVATE INDIA LTD.,0,0,0,0,0,0,0,0,259,0.192
216,NMDC POWER LTD.,0,0,0,0,0,0,0,0,108,0.192
217,MILLENNIUM TELECOM LTD.,0,0,0,0,0,0,0,0,56,0.192
218,BEL OPTRONICS DEVICES LTD.,0,0,0,0,0,0,0,0,34,0.192
219,PUNJAB ASHOK HOTEL COMPANY LTD.,0,0,0,0,0,0,0,0,75,0.192
220,NAINI AEROSPACE LTD.,0,0,0,0,0,0,0,0,227,0.192
221,GRID CONDUCTOR LTD.,0,0,0,0,0,0,0,0,302,0.192
222,SETHUSAMUDRAM CORPN. LTD.,0,0,0,0,0,0,0,0,133,0.192
223,POWERGRID NM TRANMISSION LTD.,0,0,0,0,0,0,0,0,154,0.192
224,RITES INFRASTRUCTURE SERVICES LTD.,0,0,0,0,0,0,0,0,312,0.192
225,ODISHA INFRAPOWER LTD.,0,0,0,0,0,0,0,0,302,0.192
226,ASSAM ASHOK HOTEL CORPN. LTD.,0,0,0,0,0,0,0,0,210,0.192
227,DONYI POLO ASHOK HOTEL LTD.,0,0,0,0,0,0,0,0,355,0.192
228,NBCC ENGINEERING AND CONSULTANCY LTD.,0,0,0,0,0,0,0,0,278,0.192
229,GOA-TAMNAR TRANSMISSION PROJECT LTD,0,0,0,0,0,0,0,0,437,0.192
230,IRCON LUDHIANA RUPNAGAR HIGHWAY LTD.,0,0,0,0,0,0,0,0,369,0.192
231,AAI CARGO LOGISTICS & ALLIED SERVICES COMPANY LTD.,0,0,0,0,0,0,0,0,249,0.192
232,GLIDERS INDIA LIMITED (GIL),0,0,0,0,0,0,0,0,437,0.192
233,COASTAL KARNATAKA POWER LTD.,0,0,0,0,0,0,0,0,257,0.192
234,POWER GRID SOUTHERN INTERCONNECTOR TRANSMISSION SYSTEM LTD.,0,0,0,0,0,0,0,0,324,0.192
235,BHARAT WAGON & ENGG. CO. LTD.,0,0,0,0,0,0,0,0,282,0.192
236,Goldmohur Design & Apparel Parks Ltd.,0,0,0,0,0,0,0,0,351,0.192
237,IOC Global Capital Management IFSC Ltd.,0,0,0,0,0,0,0,0,68,0.192
238,NMDC CSR Foundation,0,0,0,0,0,0,0,0,147,0.192
239,Powergrid Bikaner Transmission System Limited,0,0,0,0,0,0,0,0,130,0.192
240,MJSJ COAL LTD.,0,0,0,0,0,0,0,0,168,0.192
241,KARNATAKA VIJAY NAGAR STEEL LTD.,0,0,0,0,0,0,0,0,432,0.192
242,India Ports Global Ltd,0,0,0,0,0,0,0,0,415,0.192
243,OVL Overseas IFSC Limited,0,0,0,0,0,0,0,0,128,0.192
244,Powergrid Varanasi Transmission Ltd.,0,0,0,0,0,0,0,0,374,0.192
245,PUNJAB LOGISTIC INFRASTRUCTURE LTD.,0,0,0,0,0,0,0,0,206,0.192
246,UTKAL ASHOK HOTEL CORPN. LTD.,0,0,0,0,0,0,0,0,298,0.192
247,ERSS XXI TRANSMISSION LTD,0,0,0,0,0,0,0,0,69,0.192
248,GHATAMPUR TRANSMISSION LTD.,0,0,0,0,0,0,0,0,67,0.192
249,IRCON HARIDWAR BYPASS LIMITED,0,0,0,0,0,0,0,0,298,0.192
250,IRCON BHOJ MORBE EXPRESSWAY LTD.,0,0,0,0,0,0,0,0,157,0.192
251,TROOP COMFORTS LIMITED,0,0,0,0,0,0,0,0,360,0.192
252,POWER GRID PARLI TRANSMISSION LTD.,0,0,0,0,0,0,0,0,143,0.192
253,POWER GRID WARORA TRANSMISSION LTD.,0,0,0,0,0,0,0,0,222,0.192
254,MNH SHAKTI LTD.,0,0,0,0,0,0,0,0,278,0.192
255,HSRC Infra Services Ltd.,0,0,0,0,0,0,0,0,116,0.192
256,Powergrid Ajmer Phagi Transmission Ltd.,0,0,0,0,0,0,0,0,420,0.192
257,KARNATAKA TRADE PROMOTION ORGANISATION,0,0,0,0,0,0,0,0,142,0.192
258,PRIZE PETROLEUM COMPANY LTD.,0,0,0,0,0,0,0,0,144,0.192
259,PFC CAPITAL ADVISORY SERVICE LTD.,0,0,0,0,0,0,0,0,245,0.192
260,PFC CONSULTING LTD.,0,0,0,0,0,0,0,0,347,0.192
261,FRESH & HEALTHY ENTERPRISES LTD.,0,0,0,0,0,0,0,0,332,0.192
262,IRCON INFRASTRUCTURE & SERVICES LTD.,0,0,0,0,0,0,0,0,61,0.192
263,CHEYYUR INFRA LTD.,0,0,0,0,0,0,0,0,95,0.192
264,NATIONAL BACKWARD CLASSES FINANCE & DEVP.CO.,0,0,0,0,0,0,0,0,320,0.192
265,EASTERN INVESTMENT LTD.,0,0,0,0,0,0,0,0,72,0.192
266,PONDICHERRY ASHOK HOTEL CORPN. LTD.,0,0,0,0,0,0,0,0,71,0.192
267,POWER EQUITY CAPITAL ADVISORS PVT. LTD.,0,0,0,0,0,0,0,0,284,0.192
268,CHANDIGARH INTERNATIONAL AIRPORT LTD.,0,0,0,0,0,0,0,0,195,0.192
269,REC TRANSMISSION PROJECTS CO. LTD.,0,0,0,0,0,0,0,0,217,0.192
270,AIR INDIA EXPRESS LTD.,0,0,0,0,0,0,0,0,70,0.192
271,JAMMU & KASHMIR DEVELOPMENT FINANCE CORPORATION LTD,0,0,0,0,0,0,0,0,193,0.192
272,WR-NR POWER TRANSMISSION LTD,0,0,0,0,0,0,0,0,352,0.192
273,IRCON RENAWABLE POWER LTD,0,0,0,0,0,0,0,0,365,0.192
274,National Divyangjan Finance & Development Corporation,0,0,0,0,0,0,0,0,365,0.192
275,National Land Monetization Corporation Limited,0,0,0,0,0,0,0,0,360,0.192
276,KUMARAKRUPPA FRONTIER HOTELS LTD.,0,0,0,0,0,0,0,0,79,0.192
277,IRCON DAVANAGERE HAVERI HIGHWAY LTD.,0,0,0,0,0,0,0,0,62,0.192
278,IRCON AKLOKI-SHIRSAD EXPRESSWAY LTD.,0,0,0,0,0,0,0,0,350,0.192
279,AI Assets Holding Ltd.,0,0,0,0,0,0,0,0,63,0.192
280,Apollo Design Apparel Parks Ltd.,0,0,0,0,0,0,0,0,114,0.192
281,Delhi Police Housing Corporation Ltd.,0,0,0,0,0,0,0,0,184,0.192
282,Powergrid Gomti Yamuna Transmission Limited,0,0,0,0,0,0,0,0,390,0.192
283,Powergrid Ramgarh Transmission Ltd.,0,0,0,0,0,0,0,0,305,0.192
284,Powergrid Teleservices Ltd.,0,0,0,0,0,0,0,0,186,0.192
285,HINDUSTAN FLUOROCARBONS LIMITED,0,0,0,0,0,0,0,0,298,0.192
286,HINDUSTAN ORGANIC CHEMICALS LTD.,0,0,0,0,0,0,0,0,434,0.192
287,DINGCHANG TRANSMISSION LTD.,0,0,0,0,0,0,0,0,126,0.192
288,JHARKHAND INFRAPOWER LTD.,0,0,0,0,0,0,0,0,176,0.192
289,MEDINIPUR-JEERAT TRANSMISSION LTD.,0,0,0,0,0,0,0,0,262,0.192
290,TANDA TRANSMISSION COMPANY LTD.,0,0,0,0,0,0,0,0,419,0.192
291,NORTH EASTERN HANDICRAFTS & HANDLOOM DEV.CORPN. LTD.,0,0,0,0,0,0,0,0,402,0.192
292,THE BISRA STONE LIME COMPANY LTD.,0,0,0,0,0,0,0,0,352,0.192
293,BIJAWAR-VIDARBHA TRANSMISSION LTD,0,0,0,0,0,0,0,0,50,0.192
294,IRCON VADODARA KIM EXPRESSWAY LTD.,0,0,0,0,0,0,0,0,251,0.192
295,NABINAGAR POWER GENERATING COMPANY LTD.,0,0,0,0,0,0,0,0,37,0.192
